,hotel_id,hotel_name,session_id,text,source,timestamp,turns,duration,initiator,msg_id,len,has_q
735020,7f0ed454-0845-4b13-8ad2-3c26a48bbda9,The Liaison Capitol Hill,a89fe5a4-c2d5-4e80-b5d1-0582e0dd35e5,1034 checking out,guest,2017-08-02 15:27:19.000000,2,0:33:27.111000,guest,1,17,False
127299,34f0438f-00db-4810-9b30-c4ed8898cd63,Holiday Inn - At the Pavilion,cee90a60-0e6f-4b3b-a303-f197a367484d,Extremely disappointing,guest,2017-07-28 15:30:11.000000,9,17:49:52,guest,7,23,False
128693,34f0438f-00db-4810-9b30-c4ed8898cd63,Holiday Inn - At the Pavilion,fc40df1e-e69e-4a3a-b3ae-92d2ab527362,Thanks so much :blush:,guest,2017-08-28 18:19:29.000000,6,23:20:43.771000,hotel,5,22,False
107133,1b810dbe-809a-4baa-827f-26e834e2d30e,Gild Hall - A Thompson Hotel,89fea499-6234-4228-813f-6824c1d9080e,I just found thm- thanks!,guest,2017-11-08 17:05:40.000000,13,20:32:41.920000,guest,10,25,False
146689,66816a87-70d0-4725-b769-292e78b0dd2c,Hotel Carlton San Francisco,188eacfa-9b8b-49ba-97cd-bae532087c58,Okay sounds good. thank you!,guest,2017-12-23 01:44:23.000000,3,1:34:14,guest,3,28,False
791517,bd7c3b05-7ef8-489a-a0d5-1079574a81c7,The Troubadour Hotel,e564874f-7b50-4a67-9cc6-567ae8f3b801,"Great, thank you!",guest,2017-05-21 14:00:51.000000,3,"1 day, 2:53:32",guest,1,17,False
706228,1ec42925-a3d9-4f34-83bc-f101b3fa9dac,The Inn at Entrada,68ceaced-10a0-424e-a213-1fbf6d3e1890,Yessss!! Thank you,guest,2017-10-27 18:08:22.000000,1172,"262 days, 7:44:32.991000",hotel,613,18,False
751670,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,42694171-2b9b-4ad5-a9c6-e0f1ca0ca4a8,Sending sister to line.,guest,2017-07-28 19:47:41.000000,9,1:22:22.894000,guest,4,23,False
199639,6b756a7b-73c3-48df-85f8-6d2e9f82c1f7,Hotel Max,72c36b68-5b61-464e-83b0-eeda28f3d58c,"Thanks so much!  And yes, we'll be back!!",guest,2017-12-10 18:42:57.000000,6,"1 day, 15:44:28",guest,6,41,False
405118,dea01f08-ae01-4667-b510-20a2c916eb6d,SoBro Guest House,f2a7efd6-2325-4b14-af4f-d1c9ff84cbc8,Ok cool. When he gets here I will let you know.,guest,2017-06-13 22:25:21.000000,12,16:09:32,guest,5,47,False
21331,b427b357-fa17-48e2-851a-70f7a9ca6a26,Cedarbrook Lodge,19bdfaf5-51c1-4f3b-8d5a-d77a47a159cd,Every thing is fine! Thank you,guest,2017-11-03 17:01:56.000000,2,"2 days, 0:47:00.256000",hotel,2,30,False
162707,ba0f9171-b9f6-4094-a0d4-49488d14c957,Hotel Kabuki San Francisco,98a8d34d-8884-4389-9bac-c62e631886a5,Thank you. I am requesting late checkout,guest,2017-09-23 18:07:00.000000,3,0:26:41,guest,1,40,False
298911,50703401-afd1-4eea-a019-ccc59ac89cb0,Naples Grande Beach Resort,72169236-dcf3-4e3e-a186-b1ceafa3f653,"Ok- perfect.  Thank you :blush: 
Good to know",guest,2016-10-07 15:14:30.000000,3,0:12:07,guest,3,45,False
74089,3ed55bee-c835-4a8f-a7f3-ec07d771d27e,Dream Downtown,924abd3b-cd30-4d70-b666-66b80d9a9e13,Thank you so much,guest,2018-01-16 17:36:05.000000,1,0:00:00,guest,1,17,False
102839,ccdb0852-12f8-43c7-9d6d-518c00ce4600,Francis Marion Hotel,e6bc5cad-6762-4825-8864-c2a21bed9675,Iuuiiuuuiu iu iii8,guest,2017-11-20 02:48:34.000000,83,0:11:53,guest,65,18,False
44026,fd491c4d-10a5-4e48-9d65-6f94f34e43c0,Coral Beach Resort,809b5561-df62-4650-bf6f-dcc10900267e,"Just testing, will be there tomorrow :)",guest,2017-01-13 03:09:11.000000,7,"3 days, 0:46:03",guest,1,39,False
201542,6b756a7b-73c3-48df-85f8-6d2e9f82c1f7,Hotel Max,bf2c9c07-3ed7-481c-bee9-05677276aacc,Please send to [EMAIL] thank you!,guest,2017-08-11 15:38:09.000000,16,"3 days, 7:32:19.537000",guest,5,33,False
19991,605e51a3-30ad-4634-b564-924a99fd1e33,Casa 1810,85c85181-e46c-40b2-907e-da501655bc91,Auto Jeep grand cheroke blanca placa 208,guest,2017-06-22 20:47:36.000000,5,0:40:55.863000,hotel,4,40,False
482356,0aab7c30-43d5-41f7-a412-a0481faa2d8d,The Cape A Thompson Hotel,f5f5e048-8107-4186-9c60-cb0599a9e01d,We should be at the hotel around 1:00-2:00 pm,guest,2017-10-24 16:50:53.000000,11,"4 days, 0:56:23",guest,1,45,False
600650,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,87183a29-fb93-4982-9f48-9038730bd977,Thank you so much! :),guest,2017-04-26 22:16:29.000000,5,0:10:15.255000,guest,4,21,False
314229,a37f3b7e-3450-47e9-a202-7c0ced111960,"Nobu Hotel, Epiphany Palo Alto",791d4848-db68-4feb-b3e6-0cba849a6147,We arrive today.,guest,2017-11-10 15:01:15.000000,9,2:45:47.319000,guest,2,16,False
695913,1ec42925-a3d9-4f34-83bc-f101b3fa9dac,The Inn at Entrada,451665fb-3b99-4606-b45b-7e5226acd0c8,I'll check with housekeeping after lunch,guest,2016-05-04 19:52:18.000000,6246,"665 days, 2:05:52.142000",hotel,267,40,False
768657,7586e3fb-add1-46af-93d0-4dc10943bba5,The Pfister Hotel,9e8e77e7-3469-4368-b966-38b3c4d93b3e,Perfect :ok_hand:!!,guest,2017-10-06 17:27:44.000000,2,0:01:21.063000,guest,1,19,False
815549,3bd77c24-1877-4566-b43f-6c8ef5a8bcfc,Thompson Nashville,9d7e8d7f-a332-427d-a969-c8a7e2ecc015,Our stay is supposed to be through tomorrow!,guest,2016-12-18 15:56:37.000000,16,"3 days, 1:49:14.613000",guest,11,44,False
145925,2d9c44a1-8687-4130-bde0-96eaa1fd3502,Hotel Avante,92bb933a-f6a3-408e-bb98-b7ecb5da500c,Perfect thank you,guest,2017-07-30 19:15:06.000000,5,4:40:33,guest,5,17,False
502146,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,137ea5e2-4d2b-46ff-aa04-18a287ade47a,"Will do later, thanks!",guest,2017-08-20 23:08:29.000000,10,"22 days, 13:28:39.985000",hotel,9,22,False
609807,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,9465e40e-121e-464c-a163-2f09d6ce1aac,We plan on arriving around 8pm,guest,2017-06-23 23:35:29.000000,8,"9 days, 16:46:58.005000",guest,1,30,False
573801,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,63d5481d-741f-4b2c-9379-c03ededa480f,Maybe before we get there,guest,2017-08-07 19:57:00.000000,48,"50 days, 23:50:17.673000",hotel,22,25,False
670810,30579f65-7f28-4bc8-8b90-25ea68da3bb8,The Guild,e5868bab-4f65-4ecc-820b-d34a8b2711b0,We will both be there,guest,2017-12-10 17:32:21.000000,9,20:02:09.069000,hotel,7,21,False
264249,7246364b-efd3-4f14-a8dc-25a05ee4c4ec,Inn At Saint Mary's,681bd8c1-81b1-40e7-a37f-f4771d50db26,"I've already left, Thank you. Breakfast was great",guest,2017-12-12 17:04:21.000000,2,0:00:00,guest,1,49,False
